"gaul1_code","map_code","gaul0_name","gaul1_name","continent","disp_en"
"1252","EGY","Egypt","Damietta","Africa","Damietta, Egypt"
"1158","CAF","Central African Republic","Yadé","Africa","Yadé, Central African Republic"
"2480","BTN","Bhutan","Bumthang","Asia","Bumthang, Bhutan"
"2205","PER","Peru","Cajamarca","America","Cajamarca, Peru"
"2025","SLV","El Salvador","Sonsonate","America","Sonsonate, El Salvador"
"1499","NAM","Namibia","Kavango West","Africa","Kavango West, Namibia"
"3159","TUR","Türkiye","Mardin","Asia","Mardin, Türkiye"
"2097","HND","Honduras","Valle","America","Valle, Honduras"
"3118","TUR","Türkiye","Bilecik","Asia","Bilecik, Türkiye"
"1184","COM","Comoros","Grande Comore (Ngazidja)","Africa","Grande Comore (Ngazidja), Comoros"
"1555","RWA","Rwanda","Amajyepfo","Africa","Amajyepfo, Rwanda"
"4033","PNG","Papua New Guinea","Central Province","Oceania","Central Province, Papua New Guinea"
"2673","IRN","Iran (Islamic Republic Of)","Semnan","Asia","Semnan, Iran (Islamic Republic Of)"
"3352","BGR","Bulgaria","Sofia-City","Europe","Sofia-City, Bulgaria"
"1383","KEN","Kenya","Nakuru","Africa","Nakuru, Kenya"
"3264","VNM","Viet Nam","Tuyen Quang","Asia","Tuyen Quang, Viet Nam"
"2508","KHM","Cambodia","Kampong Speu","Asia","Kampong Speu, Cambodia"
"2687","IRQ","Iraq","Babil","Asia","Babil, Iraq"
"3380","HRV","Croatia","Šibenik","Europe","Šibenik, Croatia"
"1010","DZA","Algeria","Blida","Africa","Blida, Algeria"
"3558","IMN","Isle of Man","Lezayre","Europe","Lezayre, Isle of Man"
"1667","TUN","Tunisia","Sfax","Africa","Sfax, Tunisia"
"2288","TTO","Trinidad And Tobago","San Juan-Laventille","America","San Juan-Laventille, Trinidad And Tobago"
"3529","IRL","Ireland","Kerry","Europe","Kerry, Ireland"
"1535","NGA","Nigeria","Kaduna","Africa","Kaduna, Nigeria"
"2916","PHL","Philippines","National Capital Region (Ncr)","Asia","National Capital Region (Ncr), Philippines"
"1855","BRA","Brazil","Minas Gerais","America","Minas Gerais, Brazil"
"3628","LTU","Lithuania","Vilniaus apskr.","Europe","Vilniaus apskr., Lithuania"
"2921","PHL","Philippines","Region Ix (Zamboanga Peninsula)","Asia","Region Ix (Zamboanga Peninsula), Philippines"
"2240","KNA","Saint Kitts And Nevis","Saint John Figtree","America","Saint John Figtree, Saint Kitts And Nevis"
"2578","IND","India","Andhra Pradesh","Asia","Andhra Pradesh, India"
"3458","DEU","Germany","Berlin","Europe","Berlin, Germany"
"3417","EST","Estonia","Rapla maakond","Europe","Rapla maakond, Estonia"
"3532","IRL","Ireland","Laois","Europe","Laois, Ireland"
"2540","CHN","China","Hebei Province","Asia","Hebei Province, China"
"1745","ATG","Antigua And Barbuda","Saint Paul","America","Saint Paul, Antigua And Barbuda"
"2004","ECU","Ecuador","Napo","America","Napo, Ecuador"
"3300","ALB","Albania","Shkoder","Europe","Shkoder, Albania"
"2799","KGZ","Kyrgyzstan","Talas","Asia","Talas, Kyrgyzstan"
"1169","TCD","Chad","Lac","Africa","Lac, Chad"
"4100","VUT","Vanuatu","Penama - Rural","Oceania","Penama - Rural, Vanuatu"
"2528","KHM","Cambodia","Tboung Khmum","Asia","Tboung Khmum, Cambodia"
"1156","CAF","Central African Republic","Kagas","Africa","Kagas, Central African Republic"
"1626","SSD","South Sudan","Western Equatoria","Africa","Western Equatoria, South Sudan"
"3197","UZB","Uzbekistan","Namangan","Asia","Namangan, Uzbekistan"
