gaul2_code,map_code,gaul0_name,gaul1_name,gaul2_name,continent,disp_en
131324,THA,Thailand,Phitsanulok,Mueang Phitsanulok,Asia,"Mueang Phitsanulok, Phitsanulok, Thailand"
131325,THA,Thailand,Phitsanulok,Nakhon Thai,Asia,"Nakhon Thai, Phitsanulok, Thailand"
106200,TUN,Tunisia,Sousse,Sousse Jawhara,Africa,"Sousse Jawhara, Sousse, Tunisia"
131326,THA,Thailand,Phitsanulok,Noen Maprang,Asia,"Noen Maprang, Phitsanulok, Thailand"
131327,THA,Thailand,Phitsanulok,Phrom Phiram,Asia,"Phrom Phiram, Phitsanulok, Thailand"
131328,THA,Thailand,Phitsanulok,Wang Thong,Asia,"Wang Thong, Phitsanulok, Thailand"
131329,THA,Thailand,Phitsanulok,Wat Bot,Asia,"Wat Bot, Phitsanulok, Thailand"
131334,THA,Thailand,Phra Nakhon Si Ayutthaya,Bang Sai,Asia,"Bang Sai, Phra Nakhon Si Ayutthaya, Thailand"
131335,THA,Thailand,Phra Nakhon Si Ayutthaya,Bangsai,Asia,"Bangsai, Phra Nakhon Si Ayutthaya, Thailand"
131339,THA,Thailand,Phra Nakhon Si Ayutthaya,Phachi,Asia,"Phachi, Phra Nakhon Si Ayutthaya, Thailand"
131340,THA,Thailand,Phra Nakhon Si Ayutthaya,Phak Hai,Asia,"Phak Hai, Phra Nakhon Si Ayutthaya, Thailand"
131342,THA,Thailand,Phra Nakhon Si Ayutthaya,Sena,Asia,"Sena, Phra Nakhon Si Ayutthaya, Thailand"
131343,THA,Thailand,Phra Nakhon Si Ayutthaya,Tha Ruea,Asia,"Tha Ruea, Phra Nakhon Si Ayutthaya, Thailand"
131346,THA,Thailand,Phrae,Den Chai,Asia,"Den Chai, Phrae, Thailand"
106236,TUN,Tunisia,Tunis,Le Kram,Africa,"Le Kram, Tunis, Tunisia"
131347,THA,Thailand,Phrae,Long,Asia,"Long, Phrae, Thailand"
106237,TUN,Tunisia,Tunis,Sidi El Béchir,Africa,"Sidi El Béchir, Tunis, Tunisia"
131348,THA,Thailand,Phrae,Mueang Phrae,Asia,"Mueang Phrae, Phrae, Thailand"
131350,THA,Thailand,Phrae,Rong Kwang,Asia,"Rong Kwang, Phrae, Thailand"
106244,TUN,Tunisia,Zaghouan,Saouaf,Africa,"Saouaf, Zaghouan, Tunisia"
131351,THA,Thailand,Phrae,Song,Asia,"Song, Phrae, Thailand"
131352,THA,Thailand,Phrae,Sung Men,Asia,"Sung Men, Phrae, Thailand"
131381,THA,Thailand,Ratchaburi,Damnoen Saduak,Asia,"Damnoen Saduak, Ratchaburi, Thailand"
131353,THA,Thailand,Phrae,Wang Chin,Asia,"Wang Chin, Phrae, Thailand"
131354,THA,Thailand,Phuket,Kathu,Asia,"Kathu, Phuket, Thailand"
131355,THA,Thailand,Phuket,Mueang Phuket,Asia,"Mueang Phuket, Phuket, Thailand"
131356,THA,Thailand,Phuket,Thalang,Asia,"Thalang, Phuket, Thailand"
131357,THA,Thailand,Prachin Buri,Ban Sang,Asia,"Ban Sang, Prachin Buri, Thailand"
131358,THA,Thailand,Prachin Buri,Kabin Buri,Asia,"Kabin Buri, Prachin Buri, Thailand"
131359,THA,Thailand,Prachin Buri,Mueang Prachin Buri,Asia,"Mueang Prachin Buri, Prachin Buri, Thailand"
